FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE ODYSSEY,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,FATHERS AND SONS,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE CATCHER IN THE RYE,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,A DEATH IN THE FAMILY,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,A PORTRAIT OF THE ARTIST AS A YOUNG MAN,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,12/7/19,,DUBLINERS,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,9/14/19,,THE DEAD,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,9/14/19,,EMMA,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,9/14/19,,PRIDE AND PREJUDICE,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,9/14/19,,LORD JIM,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,9/14/19,,THE AWAKENING,,,
IN OUR TIME,ERNEST HEMINGWAY,,CLASSIC FICTION,10/31/15,2/4/17,,LE MORTE D'ARTHUR,,,
IN OUR TIME,ERNEST HEMINGWAY,,CLASSIC FICTION,4/3/16,4/22/17,,ONE FLEW OVER THE CUCKOO'S NEST,,,
THE NICK ADAMS STORIES,ERNEST HEMINGWAY,,CLASSIC FICTION,11/9/19,11/9/19,,ANNA KARENINA,,,
THE OLD MAN AND THE SEA,ERNEST HEMINGWAY,,CLASSIC FICTION,10/31/19,11/9/19,,ALICE IN WONDERLAND: THROUGH THE LOOKING GLASS,,,
THE SUN ALSO RISES,ERNEST HEMINGWAY,,CLASSIC FICTION,11/9/16,4/21/18,,THE GIVER,,,
"ALCESTIS, MEDEA, THE CHILDREN OF HERACLES, HIPPOLYTUS",EURIPIDES,,CLASSIC FICTION,4/21/18,8/24/19,,LITTLE WOMEN,,,
THE TROJAN WOMEN AND OTHER PLAYS,EURIPIDES,JAMES MORWOOD,CLASSIC FICTION,4/21/18,4/20/19,,THE HANDMAID'S TALE,,,
THE GREAT GATSBY,F. SCOTT FITZGERALD,,CLASSIC FICTION,11/7/15,4/23/16,,A CONNECTICUT YANKEE IN KING ARTHUR'S COURT,,,
THE GREAT GATSBY,F. SCOTT FITZGERALD,,CLASSIC FICTION,4/2/15,9/19/15,,ADVENTURES OF HUCKLEBERRY FINN,,,
THIS SIDE OF PARADISE,F. SCOTT FITZGERALD,,CLASSIC FICTION,11/9/19,1/25/20,,FRANKENSTEIN,,,
THE METAMORPHOSIS,FRANZ KAFKA,,CLASSIC FICTION,10/14/17,4/21/18,,I KNOW WHY THE CAGED BIRD SINGS,,,
THE METAMORPHOSIS,FRANZ KAFKA,,CLASSIC FICTION,2/10/18,9/15/18,,WOULDN'T TAKE NOTHING FOR MY JOURNEY NOW,,,
THE IDIOT,FYODOR DOSTOYEVSKY,,CLASSIC FICTION,4/3/16,,,THE BLITHEDALE ROMANCE,,,
THE IDIOT,FYODOR DOSTOYEVSKY,,CLASSIC FICTION,8/24/19,8/24/19,,THE HOUSE OF THE SEVEN GABLES,,,
ONE HUNDRED YEARS OF SOLITUDE,GABRIEL GARCIA MARQUEZ,,CLASSIC FICTION,10/13/18,4/20/19,,THE SCARLET LETTER,,,
ONE HUNDRED YEARS OF SOLITUDE,GABRIEL GARCIA MARQUEZ,,CLASSIC FICTION,4/3/16,4/21/18,,THE DEATH OF KING ARTHUR,,,
ONE HUNDRED YEARS OF SOLITUDE,GABRIEL GARCIA MARQUEZ,,CLASSIC FICTION,9/15/18,9/15/18,,THE COUNTESS OF PEMBROKE'S ARCADIA,,,
ANIMAL FARM,GEORGE ORWELL,,CLASSIC FICTION,10/31/15,9/17/16,,ESSENTIAL DIALOGUES OF PLATO,,,
MOBY DICK,HERMAN MELVILLE,,CLASSIC FICTION,4/3/16,9/17/16,,REPUBLIC OF PLATO,,,
THE ILLIAD,HOMER,,CLASSIC FICTION,2/13/16,2/4/17,,ANTON CHEKHOV'S SHORT STORIES,,,
THE ODYSSEY,HOMER,,CLASSIC FICTION,4/23/16,2/4/17,,FAHRENHEIT 451,,,
FATHERS AND SONS,IVAN TURGENEV,,CLASSIC FICTION,10/13/18,3/30/19,,AFTER LONDON,,,
FATHERS AND SONS,IVAN TURGENEV,,CLASSIC FICTION,10/31/19,,,"THE GOSPEL OF MATTHEW, THE DEATH OF IVAN ILYNCH, DUBLINERS",,,
FATHERS AND SONS,IVAN TURGENEV,,CLASSIC FICTION,9/15/18,9/15/18,,THE RED BADGE OF COURAGE,,,
THE CATCHER IN THE RYE,J. D. SALINGER,,CLASSIC FICTION,10/14/17,10/14/17,,THE TWELVE CAESARS,,,
THE CATCHER IN THE RYE,J. D. SALINGER,,CLASSIC FICTION,10/31/15,12/6/15,,AN AMERICAN TRAGEDY,,,
A DEATH IN THE FAMILY,JAMES AGEE,,CLASSIC FICTION,4/3/16,9/15/18,,THE RETURN OF THE NATIVE,,,
A PORTRAIT OF THE ARTIST AS A YOUNG MAN,JAMES JOYCE,,CLASSIC FICTION,10/31/15,12/2/17,,THE THINGS THEY CARRIED,,,
DUBLINERS,JAMES JOYCE,,CLASSIC FICTION,10/14/17,10/14/17,,HUMPHREY CLINKER,,,
DUBLINERS,JAMES JOYCE,,CLASSIC FICTION,10/14/17,12/8/18,,SONG OF SOLOMON,,,
DUBLINERS,JAMES JOYCE,,CLASSIC FICTION,10/31/15,11/7/15,,THE BLUEST EYE,,,
DUBLINERS,JAMES JOYCE,,CLASSIC FICTION,10/31/15,12/6/15,,THE JUNGLE,,,
DUBLINERS,JAMES JOYCE,,CLASSIC FICTION,2/23/19,11/9/19,,LES MISERABLES,,,
THE DEAD,JAMES JOYCE,DANIEL R. SCHWARZ,CLASSIC FICTION,10/31/15,9/15/18,,THE ANEID,,,
THE DEAD,JAMES JOYCE,DANIEL R. SCHWARZ,CLASSIC FICTION,2/9/19,,,MRS. DALLOWAY,,,
EMMA,JANE AUSTEN,STEPHEN M. PARRISH,CLASSIC FICTION,10/31/15,4/22/17,,TO THE LIGHTHOUSE,,,
PRIDE AND PREJUDICE,JANE AUSTEN,,CLASSIC FICTION,10/31/15,12/6/15,,CANDIDE,,,
LORD JIM,JOSEPH CONRAD,THOMAS C. MOSER,CLASSIC FICTION,10/31/15,4/21/18,,THE PORTABLE VOLTAIRE,,,
THE AWAKENING,KATE CHOPIN,,CLASSIC FICTION,2/10/18,1/25/20,,MY ANTONIA,,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,,,"ABSALOM, ABSALOM!",,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,,,FLAGS IN THE DUST,,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,,,NAKED LUNCH,,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,,,SOPHIE'S CHOICE,,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,,,V FOR VENDETTA,,,
LE MORTE D'ARTHUR,KEITH BAINES,,CLASSIC FICTION,9/14/19,11/9/19,,PROVIDENCE,,,
ONE FLEW OVER THE CUCKOO'S NEST,KEN KESEY,,CLASSIC FICTION,4/3/16,9/17/16,,THE INCAL,,,
ANNA KARENINA,LEO TOLSTOY,,CLASSIC FICTION,10/14/17,,,MAUS,,,
ALICE IN WONDERLAND: THROUGH THE LOOKING GLASS,LEWIS CARROLL,,CLASSIC FICTION,4/3/16,9/17/16,,WORLD AT WAR,,,
THE GIVER,LOIS LOWRY,,CLASSIC FICTION,12/2/17,9/15/18,,CINDERELLA: FROM FABLETOWN WITH LOVE,,,
LITTLE WOMEN,LOUISA MAY ALCOTT,,CLASSIC FICTION,4/3/16,,,BLUEPRINT FOR DISASTER GET FUZZY,,,
THE HANDMAID'S TALE,MARGARET ATWOOD,,CLASSIC FICTION,10/31/15,9/17/16,,THE STRAIN,,,
A CONNECTICUT YANKEE IN KING ARTHUR'S COURT,MARK TWAIN,,CLASSIC FICTION,2/23/19,4/20/19,,CIVIL WAR II,,,
A CONNECTICUT YANKEE IN KING ARTHUR'S COURT,MARK TWAIN,,CLASSIC FICTION,4/21/18,9/15/18,,AME-COMI GIRLS,,,
ADVENTURES OF HUCKLEBERRY FINN,MARK TWAIN,,CLASSIC FICTION,10/14/17,9/15/18,,BATGIRL,,,
ADVENTURES OF HUCKLEBERRY FINN,MARK TWAIN,,CLASSIC FICTION,2/23/19,3/30/19,,BATMAN,,,
FRANKENSTEIN,MARY SHELLEY,,CLASSIC FICTION,2/23/19,3/30/19,,BATWOMAN,,,
FRANKENSTEIN,MARY SHELLEY,,CLASSIC FICTION,4/21/18,12/8/18,,CATWOMAN,,,
I KNOW WHY THE CAGED BIRD SINGS,MAYA ANGELOU,,CLASSIC FICTION,10/31/15,11/7/15,,GOTHAM,,,
WOULDN'T TAKE NOTHING FOR MY JOURNEY NOW,MAYA ANGELOU,,CLASSIC FICTION,10/31/15,,,GREEN LANTERN,,,
THE BLITHEDALE ROMANCE,NATHANIEL HAWTHORNE,,CLASSIC FICTION,10/31/15,2/13/16,,HARLEY QUINN,,,
THE HOUSE OF THE SEVEN GABLES,NATHANIEL HAWTHORNE,,CLASSIC FICTION,11/9/19,1/25/20,,JUSTICE LEAGUE,,,
THE SCARLET LETTER,NATHANIEL HAWTHORNE,,CLASSIC FICTION,10/31/15,9/17/16,,SGT. ROCK SPECIAL,,,
THE SCARLET LETTER,NATHANIEL HAWTHORNE,,CLASSIC FICTION,4/21/18,4/21/18,,THE MIGHTY CRUSADERS,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,,,THE SHADOW OF THE BAT,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,,,WONDER WOMAN,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,,,ZATANNA,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,,,MIRROR THE MOUNTAIN,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,12/7/19,,SAGA,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,12/7/19,,THE FAR SIDE GALLERY,,,
THE DEATH OF KING ARTHUR,PETER ACKROYS,,CLASSIC FICTION,9/14/19,9/14/19,,DOOMSDAY CLOCK NO. 1,,,
THE COUNTESS OF PEMBROKE'S ARCADIA,PHILIP SIDNEY,,CLASSIC FICTION,4/3/16,12/7/19,,HOSTAGE,,,
ESSENTIAL DIALOGUES OF PLATO,PLATO,,CLASSIC FICTION,4/21/18,,,ATTACK ON TITAN,,,
REPUBLIC OF PLATO,PLATO,,CLASSIC FICTION,2/10/18,8/24/19,,ICE CREAM MAN,,,
ANTON CHEKHOV'S SHORT STORIES,RALPH E. MATLAW,,CLASSIC FICTION,10/14/17,2/10/18,,MADMAN ATOMIC COMICS,,,
FAHRENHEIT 451,RAY BRADBURY,,CLASSIC FICTION,10/31/15,11/7/15,,OUTCAST,,,
AFTER LONDON,RICHARD JEFFERIES,JOHN FOWLES,CLASSIC FICTION,10/31/15,4/20/19,,DARK SHADOWS,,,
"THE GOSPEL OF MATTHEW, THE DEATH OF IVAN ILYNCH, DUBLINERS","ST. MATTHEW, LEV NIKOLAYEVICH TOLSTOY, JAMES JOYCE",,CLASSIC FICTION,10/31/15,2/13/16,,SWEET TOOTH,,,
THE RED BADGE OF COURAGE,STEPHEN CRANE,,CLASSIC FICTION,10/14/17,10/14/17,,BONE,,,
THE TWELVE CAESARS,SUETONIUS,,CLASSIC FICTION,4/21/18,4/20/19,,MIRACLE SQUAD,,,
AN AMERICAN TRAGEDY,THEODORE DREISER,,CLASSIC FICTION,11/9/19,,,ALEX + ADA,,,
THE RETURN OF THE NATIVE,THOMAS HARDY,,CLASSIC FICTION,10/31/15,,,THE COMPLETE PERSEPOLIS,,,
THE THINGS THEY CARRIED,TIM O'BRIEN,,CLASSIC FICTION,10/31/15,11/7/15,,BATTLESTAR GALACTICA,,,
THE THINGS THEY CARRIED,TIM O'BRIEN,,CLASSIC FICTION,10/31/15,12/6/15,,BLACK BOLT,,,
HUMPHREY CLINKER,TOBIAS SMOLLETT,,CLASSIC FICTION,4/3/16,10/14/17,,BLINK,,,
SONG OF SOLOMON,TONI MORRISON,,CLASSIC FICTION,10/31/15,4/22/17,,BUCKAROO BANZAI,,,
THE BLUEST EYE,TONI MORRISON,,CLASSIC FICTION,10/31/15,12/2/17,,CABLE,,,
THE JUNGLE,UPTON SINCLAIR,,CLASSIC FICTION,11/9/19,,,CAPTAIN AMERICA,,,
LES MISERABLES,VICTOR HUGO,,CLASSIC FICTION,10/31/15,,,CAPTAIN MARVEL,,,
LES MISERABLES,VICTOR HUGO,,CLASSIC FICTION,10/31/15,4/21/18,,CONAN THE DESTROYER,,,
LES MISERABLES,VICTOR HUGO,,CLASSIC FICTION,4/3/16,4/22/17,,DOCTOR VOODOO: AVENGER OF THE SUPERNATURAL,,,
THE ANEID,VIRGIL,,CLASSIC FICTION,4/21/18,3/30/19,,EARTH X,,,
MRS. DALLOWAY,VIRGINIA WOOLF,,CLASSIC FICTION,10/31/15,,,ELF QUEST,,,
MRS. DALLOWAY,VIRGINIA WOOLF,,CLASSIC FICTION,10/31/15,2/4/17,,EXILES,,,
TO THE LIGHTHOUSE,VIRGINIA WOOLF,,CLASSIC FICTION,2/10/18,10/13/18,,FACTOR X,,,
CANDIDE,VOLTAIRE,,CLASSIC FICTION,10/13/18,3/30/19,,FANTASTIC FOUR,,,
CANDIDE,VOLTAIRE,,CLASSIC FICTION,10/14/17,9/15/18,,G.I. JOE YEARBOOK,,,
THE PORTABLE VOLTAIRE,VOLTAIRE,,CLASSIC FICTION,2/13/16,9/17/16,,GAMBIT AND THE X-TERNALS,,,
MY ANTONIA,WILLA CATHER,,CLASSIC FICTION,10/31/15,,,GENERATION NEXT,,,
"ABSALOM, ABSALOM!",WILLIAM FAULKNER,,CLASSIC FICTION,10/31/15,9/17/16,,GHOST RIDER,,,
FLAGS IN THE DUST,WILLIAM FAULKNER,,CLASSIC FICTION,10/31/15,4/21/18,,INDIANA JONES,,,
NAKED LUNCH,WILLIAM S. BURROUGHS,,CLASSIC FICTION,10/31/15,2/4/17,,LEGION,,,
SOPHIE'S CHOICE,WILLIAM STYRON,,CLASSIC FICTION,10/31/15,4/22/17,,MICRONAUTS,,,
V FOR VENDETTA,"ALAN MOORE, DAVID LLOYD",,COMIC BOOK/GRAPHIC NOVEL,3/31/17,4/22/17,,MOON GIRL AND DEVIL DINOSAUR,,,
V FOR VENDETTA,"ALAN MOORE, DAVID LLOYD",,COMIC BOOK/GRAPHIC NOVEL,3/31/17,9/15/18,,MORBIUS,,,
V FOR VENDETTA,"ALAN MOORE, DAVID LLOYD",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,MUTANT X,,,
PROVIDENCE,"ALAN MOORE, JACEN BURROWS",,COMIC BOOK/GRAPHIC NOVEL,10/13/18,11/9/19,,POWER MAN AND IRON FIST,,,
PROVIDENCE,"ALAN MOORE, JACEN BURROWS",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/15/18,,PUNISHER JOINS THE MOB,,,
THE INCAL,ALEJANDRO JODOROWSKY,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,ROCKET RACCOON,,,
MAUS,ART SPIEGELMAN,,COMIC BOOK/GRAPHIC NOVEL,11/9/16,4/22/17,,RUNAWAYS,,,
WORLD AT WAR,CHARLTON COMICS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,SHOGUN WARRIORS,,,
CINDERELLA: FROM FABLETOWN WITH LOVE,"CHRIS ROBERSON, SHAWN MCMANUS",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,SPIDER-MAN,,,
BLUEPRINT FOR DISASTER GET FUZZY,DARBY CONGLEY,,COMIC BOOK/GRAPHIC NOVEL,11/9/16,4/22/17,,THE AVENGERS,,,
THE STRAIN,DARK HORSE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE DEFENDERS,,,
THE STRAIN,DARK HORSE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE INCREDIBLE HULK,,,
THE STRAIN,DARK HORSE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,THE THING,,,
THE STRAIN,DARK HORSE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,WEAPON X,,,
CIVIL WAR II,DAVID MARQUEZ,,COMIC BOOK/GRAPHIC NOVEL,12/7/19,12/7/19,,WHAT IF BLINK OF GENERATION X HAD NOT DIED,,,
AME-COMI GIRLS,DC,,COMIC BOOK/GRAPHIC NOVEL,2/23/19,,,WOLVERINE AND THE X-MEN,,,
AME-COMI GIRLS,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,X CABLE,,,
AME-COMI GIRLS,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,X UNIVERSE,,,
BATGIRL,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,X-CALIBRE,,,
BATGIRL,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,X-MEN,,,
BATMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,CONAN THE KING,,,
BATMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,NATIONAL AQUARIUM IN BALTIMORE: BOOK OF CARTOONS,,,
BATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,BRAVEST WARRIORS: TALES FROM THE HOLO JOHN,,,
BATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,KEYSER SOZE: SCORCHED EARTH,,,
BATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,THE WALKING DEAD,,,
BATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,RAWHIDE KID,,,
CATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,3/30/19,3/30/19,,ROM 1,,,
CATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/15/18,,POKEMON: RISE OF DARKRAI,,,
CATWOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,8/24/19,,,MICRONAUTS: 2002 CONVENTION SPECIAL,,,
GOTHAM,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,BEDLAM,,,
GOTHAM,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,THE OCTOBER FACTION,,,
GREEN LANTERN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,STRANGERS IN PARADISE,,,
GREEN LANTERN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,TUROK: SON OF STONE,,,
GREEN LANTERN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,CLOUDIA & REX,,,
GREEN LANTERN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,ARCHER & ARMSTRONG,,,
GREEN LANTERN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,SHADOWMAN,,,
HARLEY QUINN,DC,,COMIC BOOK/GRAPHIC NOVEL,10/13/18,11/9/19,,CAGE!,,,
HARLEY QUINN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,GRASS KINGS,,,
HARLEY QUINN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/15/18,,JURASSIC PARK,,,
JUSTICE LEAGUE,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,MARY SHELLY'S FRANKENSTEIN: OFFICIAL COMICS ADAPTATION OF THE KENNETH BRANAUGH FILM,,,
JUSTICE LEAGUE,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,STAR TREK,,,
SGT. ROCK SPECIAL,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,STAR WARS,,,
THE MIGHTY CRUSADERS,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,THE BEST OF ARCHIE COMICS,,,
THE SHADOW OF THE BAT,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,TITANS,,,
WONDER WOMAN,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,TRON,,,
ZATANNA,DC,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,RETURN TO WHISPER,,,
MIRROR THE MOUNTAIN,"EMMA RIOS, HWEI LIM",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/21/18,,JOE THE BARBARIAN,,,
SAGA,"FIONA STAPLES, BRIAN K. VAUGHAN",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,SHIVER BUREAU,,,
THE FAR SIDE GALLERY,GARY LARSON,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,FRIEND OF MY YOUTH,,,
DOOMSDAY CLOCK NO. 1,GEOFF JOHNS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,ESSAY 33: NONFICTION REFLECTIONS,,,
HOSTAGE,GUY DELISLE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE PORTABLE CHEKHOV,,,
ATTACK ON TITAN,HAJIME ISAYAMA,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,SIX GREAT SHERLOCK HOLMES STORIES,,,
ICE CREAM MAN,IMAGE COMICS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,THE RIGOBERTA MENCHU CONTROVERSY,,,
MADMAN ATOMIC COMICS,IMAGE COMICS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,THE MIDDLEMAN AND OTHER STORIES,,,
OUTCAST,IMAGE COMICS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,THE ART OF TRUTH,,,
DARK SHADOWS,INNOVATION COMICS,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,A GRIEF OBSERVED,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE BEST AMERICAN ESSAYS,,,
